B2	找B2检票口
a25号口	找A25检票口
南10洞口	找南10桥柱
b25号口	找B25检票口
b6检票口	找B6检票口
15号出口	找15号到达口
检票口A13	找A13检票口
售票厅	人工窗口
东边出站口	找东出站口
10号到达口	找10号到达口
检票口b24	找B24检票口
c27检票口	找C27检票口
2号到达口	找2号到达口
A9号口	找A9检票口
坐车	坐车
b5检票口	找B5检票口
到达口10	找10号到达口
城巴	坐大巴
c25检票口	找C25检票口
7号线,地铁	坐地铁
a13	找A13检票口
A27	找A27检票口
检票口b6	找B6检票口
出站口4	找4号出站口
检票口a5	找A5检票口
地铁口	坐地铁
南门	找南门
20号口	找20号到达口
南边出站口	找南出站口
a13号口	找A13检票口
d27检票口	找D27检票口
南站南路	找南站南路
南12	找南12桥柱
3号到达口	找3号到达口
a1口	找A1检票口
b11	找B11检票口
c20	找C20检票口
检票口A1	找A1检票口
p3	找p3停车场
上三楼	坐车
A5检票口	找A5检票口
16号口	找16号到达口
东侧出站口	找东出站口
西面,出发平台	找西出发平台
检票口a6	找A6检票口
南9	找南9桥柱
出口12	找12号到达口
检票口b11	找B11检票口
B24	找B24检票口
b28检票口	找B28检票口
北4桥墩	找北4桥柱
南路	找南站南路
南6	找南6桥柱
高铁票	人工窗口
地铁口	坐地铁
A25	找A25检票口
地名,过来,高铁,到达口	找到达口
地名,过来,高铁,到达口	找到达口
汇智光华商店	找汇智光华商店
北3洞口	找北3桥柱
地名,高铁,坐车	坐车
d27口	找D27检票口
A23号口	找A23检票口
检票口A23	找A23检票口
7号到达口	找7号到达口
北6	找北6桥柱
南12桥柱	找南12桥柱
寄存	找行李寄存处
地名1	坐城轨
出发平台	找出发平台
c22号口	找C22检票口
7号线	坐地铁
南10桥	找南10桥柱
a24检票口	找A24检票口
a25口	找A25检票口
北13洞口	找北13桥柱
b10	找B10检票口
咖啡	找咖啡店
到达口24	找24号到达口
B25	找B25检票口
南14桥柱	找南14桥柱
b25检票口	找B25检票口
1号进站口	找1号进站口
东侧的爱心驿站	找东门爱心驿站
北侧出站口	找北出站口
C28口	找C28检票口
北8桥洞	找北8桥柱
P2停车场	找p2停车场
南5桥柱	找南5桥柱
24号口	找24号到达口
a11口	找A11检票口
1号到达口	找1号到达口
失物招领	找失物招领处
汤粉	找汤上功夫
c26号口	找C26检票口
出口1	找1号到达口
C28号口	找C28检票口
B28	找B28检票口
b10检票口	找B10检票口
B14检票口	找B14检票口
7号出口	找7号到达口
出口8	找8号到达口
b出口	找B口
A22号口	找A22检票口
北11桥洞	找北11桥柱
北,3号桥	找北3桥柱
b20号口	找B20检票口
c25号口	找C25检票口
地名4,坐车	坐大巴
北10	找北10桥柱
忘记密码	找处理12306账户
d20号口	找D20检票口
19出口	找19号到达口
检票口C23	找C23检票口
东侧出站口	找东出站口
售票厅	人工窗口
拿票	找自助取票机
地名4,客车	坐大巴
25号口	找25号到达口
8号口	找8号到达口
6号出口	找6号到达口
充电宝	借充电宝
南4洞口	找南4桥柱
地名,高铁,上三楼	坐车
c出口	找C口
a16号口	找A16检票口
检票口A25	找A25检票口
1号口	找1号到达口
5出口	找5号到达口
a19	找A19检票口
12号到达口	找12号到达口
长途汽车客运站	坐大巴
检票口a16	找A16检票口
餐饮	用餐
b11检票口	找B11检票口
检票口D25	找D25检票口
D20口	找D20检票口
南在哪边	找南边
东进站口	找东进站口
北10桥	找北10桥柱
专车	找p1停车场
16号口	找16号到达口
坐动车	坐车
10号口	找10号到达口
南3桥洞	找南3桥柱
6号出口	找6号到达口
c22号口	找C22检票口
P10	找p10停车场
检票口b27	找B27检票口
坐动车	坐车
北4桥	找北4桥柱
北,8号桥	找北8桥柱
身份证,忘带,通行证,驾驶证	人工窗口
b12检票口	找B12检票口
轻轨,在哪坐	坐城轨
a12检票口	找A12检票口
汽车站	坐大巴
c22口	找C22检票口
南13洞口	找南13桥柱
餐饮	用餐
地名,上三楼	坐车
b26检票口	找B26检票口
检票口B8	找B8检票口
b19号口	找B19检票口
北1洞口	找北1桥柱
a18号口	找A18检票口
南,11号桥	找南11桥柱
B13	找B13检票口
p6	找p6停车场
7号地铁	坐地铁
长途汽车站	坐大巴
南2柱	找南2桥柱
C28号口	找C28检票口
进站口6	找6号进站口
B6号口	找B6检票口
A7口	找A7检票口
C26	找C26检票口
出口17	找17号到达口
b25号口	找B25检票口
c入口	找C口
d22检票口	找D22检票口
南1桥洞	找南1桥柱
北面出站口	找北出站口
北9桥洞	找北9桥柱
检票口B6	找B6检票口
高铁票,取	找自助取票机
南6桥柱	找南6桥柱
11号到达口	找11号到达口
南,11号桥	找南11桥柱
西南区	找西南区
打票	找自助取票机
检票口B5	找B5检票口
北4	找北4桥柱
北路	找南站北路
取票口	找自助取票机
2号口	找2号到达口
a13号口	找A13检票口
地铁	坐地铁
进站口东	找东进站口
C21号口	找C21检票口
南14桥墩	找南14桥柱
a1检票口	找A1检票口
检票口b13	找B13检票口
a15	找A15检票口
B9	找B9检票口
到达口3	找3号到达口
南13桥墩	找南13桥柱
检票口c20	找C20检票口
没电	借充电宝
检票口c23	找C23检票口
C24口	找C24检票口
13号口	找13号到达口
b17号口	找B17检票口
A16	找A16检票口
出口24	找24号到达口
中铁快运	找中铁快运
南,6号桥	找南6桥柱
检票口b14	找B14检票口
D22	找D22检票口
A3口	找A3检票口
巴士	坐大巴
出口	找到达口
东在哪侧	找东边
P8停车场	找p8停车场
A28号口	找A28检票口
B区	找检票B区
a15检票口	找A15检票口
南9	找南9桥柱
12306	找处理12306账户
B口	找B口
买动车票	人工窗口
D21口	找D21检票口
检票口c23	找C23检票口
北14桥柱	找北14桥柱
A24口	找A24检票口
检票口B26	找B26检票口
580服务台	找西门爱心驿站
k口	找K口
a13检票口	找A13检票口
北面停车场	找北1停车场
南3洞口	找南3桥柱
b15检票口	找B15检票口
C24号口	找C24检票口
12号口	找12号到达口
出站口南	找南出站口
南13桥洞	找南13桥柱
南面出站口	找南出站口
c28	找C28检票口
b28检票口	找B28检票口
北7洞口	找北7桥柱
b27号口	找B27检票口
西在哪个方向	找西边
检票口a13	找A13检票口
D20	找D20检票口
北面出站口	找北出站口
地名,高铁,上三楼	坐车
检票口A17	找A17检票口
6号进站口	找6号进站口
4号进站口	找4号进站口
检票口b5	找B5检票口
24号出口	找24号到达口
a23	找A23检票口
地铁口	坐地铁
到达口3	找3号到达口
18出口	找18号到达口
爱心驿站	找爱心驿站
A17号口	找A17检票口
A28口	找A28检票口
A2号口	找A2检票口
K口	找K口
东侧出站口	找东出站口
检票口B18	找B18检票口
D20	找D20检票口
进站口东	找东进站口
地名,候车	坐车
a17检票口	找A17检票口
b24口	找B24检票口
考核证件	找处理12306账户
14号到达口	找14号到达口
洗手间	找卫生间
a6口	找A6检票口
19号口	找19号到达口
a11检票口	找A11检票口
B18	找B18检票口
北12桥墩	找北12桥柱
d28检票口	找D28检票口
退了	人工窗口
19号口	找19号到达口
C27号口	找C27检票口
a24检票口	找A24检票口
出站	找出站口
p7	找p7停车场
中铁快运	找中铁快运
检票口C27	找C27检票口
b3号口	找B3检票口
用餐	用餐
A28口	找A28检票口
行李寄存处	找行李寄存处
南面的出站口	找南出站口
买,高铁,票	买票
出站口	找到达口
北2桥洞	找北2桥柱
检票口B16	找B16检票口
6号进站口	找6号进站口
b13号口	找B13检票口
A11号口	找A11检票口
a24口	找A24检票口
南2桥洞	找南2桥柱
出口8	找8号到达口
南5桥墩	找南5桥柱
A13	找A13检票口
进站口东	找东进站口
c入口	找C口
考核身份证	找处理12306账户
检票口B20	找B20检票口
进站口	坐车
出站	找出站口
7号线	坐地铁
有饭吃	用餐
人工售票	人工窗口
B8	找B8检票口
B4检票口	找B4检票口
北,11号桥	找北11桥柱
a23检票口	找A23检票口
出口22	找22号到达口
公交车	坐公交
A26检票口	找A26检票口
A27口	找A27检票口
B8	找B8检票口
南14洞口	找南14桥柱
b入口	找B口
检票口C21	找C21检票口
东门出站口	找东出站口
上去,三层	坐车
28号口	找28号到达口
北7	找北7桥柱
进站,地名	坐车
a8	找A8检票口
25号口	找25号到达口
北13桥柱	找北13桥柱
出口13	找13号到达口
A14	找A14检票口
南13桥	找南13桥柱
检票口c27	找C27检票口
a18口	找A18检票口
汤上功夫	找汤上功夫
检票口a23	找A23检票口
乐站	找乐站便利店
到达口13	找13号到达口
北1桥洞	找北1桥柱
f入口	找F口
B12检票口	找B12检票口
检票口a20	找A20检票口
B20口	找B20检票口
12306	找处理12306账户
P8停车场	找p8停车场
快递	找中铁快运
检票口a11	找A11检票口
上三楼	坐车
南10桥	找南10桥柱
南5柱	找南5桥柱
北门出站口	找北出站口
北7桥	找北7桥柱
南8桥柱	找南8桥柱
地名,过来,高铁,到达口	找到达口
19号口	找19号到达口
18出口	找18号到达口
D27检票口	找D27检票口
5号出站口	找5号出站口
24号口	找24号到达口
南出站口	找南出站口
东进站口	找东进站口
东门的进站口	找东进站口
买的票,取	找自助取票机
北侧的进站口	找北进站口
咖啡	找咖啡店
b22检票口	找B22检票口
B26检票口	找B26检票口
9号出口	找9号到达口
C24检票口	找C24检票口
南11桥柱	找南11桥柱
B5口	找B5检票口
D23口	找D23检票口
b26检票口	找B26检票口
地名,候车大厅	坐车
地名,等车	坐车
东面进站口	找东进站口
a17号口	找A17检票口
南9洞口	找南9桥柱
长途汽车站	坐大巴
退票,怎么退	人工窗口
西边的进站口	找西进站口
23号口	找23号到达口
南3桥	找南3桥柱
南在哪边	找南边
订动车票	人工窗口
a24	找A24检票口
A5	找A5检票口
北7桥柱	找北7桥柱
售票机	找自助售票机
A26检票口	找A26检票口
17号出口	找17号到达口
南站南路	找南站南路
南门出站口	找南出站口
A22	找A22检票口
p4停车场	找p4停车场
B3	找B3检票口
b3口	找B3检票口
a15号口	找A15检票口
D24口	找D24检票口
西出发平台	找西出发平台
C21检票口	找C21检票口
p1停车场	找p1停车场
12号口	找12号到达口
南8柱	找南8桥柱
c23	找C23检票口
A9检票口	找A9检票口
B12号口	找B12检票口
南6柱	找南6桥柱
A25口	找A25检票口
北路	找南站北路
A27	找A27检票口
3层	坐车
b4	找B4检票口
检票口B13	找B13检票口
A13检票口	找A13检票口
B4号口	找B4检票口
检票口B23	找B23检票口
南9	找南9桥柱
b16口	找B16检票口
a8检票口	找A8检票口
南9桥	找南9桥柱
出发层	坐车
北10	找北10桥柱
东门进站口	找东进站口
出口1	找1号到达口
北面出站口	找北出站口
西在哪个方向	找西边
a2号口	找A2检票口
东在哪边	找东边
A20口	找A20检票口
27号出口	找27号到达口
7号进站口	找7号进站口
C22检票口	找C22检票口
P1	找p1停车场
便利店	找便利店
检票口b26	找B26检票口
检票口A6	找A6检票口
京东快递	找京东快递
检票口B22	找B22检票口
出站口2	找2号出站口
北7桥	找北7桥柱
东出发平台	找东出发平台
B23口	找B23检票口
拿车票	找自助取票机
72街	找72街
核验证件	找处理12306账户
检票口a2	找A2检票口
便利店	找便利店
检票口a12	找A12检票口
巴士	坐大巴
北,9号桥	找北9桥柱
存行李	找行李寄存处
全家便利店	找全家便利店
北,11号桥	找北11桥柱
存包	找行李寄存处
东侧的出站口	找东出站口
检票口A1	找A1检票口
p8	找p8停车场
东在哪侧	找东边
b12口	找B12检票口
南门进站口	找南进站口
A24	找A24检票口
取款机	找ATM机
人工窗口	人工窗口
到达口23	找23号到达口
C27	找C27检票口
人工售票	人工窗口
接客区	找p3停车场
10出口	找10号到达口
出口11	找11号到达口
北2柱	找北2桥柱
检票口B18	找B18检票口
b12检票口	找B12检票口
B1检票口	找B1检票口
动车票	人工窗口
2号进站口	找2号进站口
北门	找北门
西侧的进站口	找西进站口
a7号口	找A7检票口
南,11号桥	找南11桥柱
a28	找A28检票口
a15	找A15检票口
a14口	找A14检票口
a15号口	找A15检票口
b24口	找B24检票口
检票口B8	找B8检票口
北7桥	找北7桥柱
北出口	找北门
A16口	找A16检票口
C28口	找C28检票口
b4	找B4检票口
J口	找J口
A27检票口	找A27检票口
地名,买票	买票
A3检票口	找A3检票口
东在哪里	找东边
A19	找A19检票口
d26	找D26检票口
D23检票口	找D23检票口
p7	找p7停车场
9号口	找9号到达口
出口23	找23号到达口
北4桥	找北4桥柱
检票口B24	找B24检票口
a5号口	找A5检票口
2号,地铁站,入口	坐地铁
14出口	找14号到达口
检票口c22	找C22检票口
p6	找p6停车场
A1口	找A1检票口
d23检票口	找D23检票口
a21检票口	找A21检票口
p3停车场	找p3停车场
南9柱	找南9桥柱
报验护照	找处理12306账户
a24检票口	找A24检票口
到达口24	找24号到达口
退了	人工窗口
便利店	找便利店
专车	找p1停车场
检票口a22	找A22检票口
K入口	找K口
d22	找D22检票口
c24	找C24检票口
b14号口	找B14检票口
北6	找北6桥柱
检票口a22	找A22检票口
2出站口	找2号出站口
10出口	找10号到达口
A13检票口	找A13检票口
南门出站口	找南出站口
北出口	找北门
a25	找A25检票口
28号出口	找28号到达口
轻轨,到达口	找到达口
南9桥柱	找南9桥柱
b9号口	找B9检票口
检票口a9	找A9检票口
出口17	找17号到达口
检票口A26	找A26检票口
B11检票口	找B11检票口
通行证,续签	找港澳通行证续签机
取不了	人工窗口
肯德基	找肯德基
南3桥柱	找南3桥柱
21号口	找21号到达口
坐地铁	坐地铁
B6口	找B6检票口
北侧进站口	找北进站口
B2检票口	找B2检票口
b2	找B2检票口
c22号口	找C22检票口
检票口a8	找A8检票口
北2	找北2桥柱
进站口	坐车
北5桥墩	找北5桥柱
南站北路	找南站北路
充电	借充电宝
B19号口	找B19检票口
a25口	找A25检票口
北9柱	找北9桥柱
C28口	找C28检票口
d22	找D22检票口
买票	买票
19号口	找19号到达口
高铁,哪个口	找到达口
临时	办临时身份证
怎么改	找改签处
b入口	找B口
B9	找B9检票口
检票口a10	找A10检票口
B6检票口	找B6检票口
北侧的进站口	找北进站口
P7	找p7停车场
巴士	坐大巴
4进站口	找4号进站口
22号到达口	找22号到达口
7号到达口	找7号到达口
坐车	坐车
B8	找B8检票口
6号到达口	找6号到达口
20号出口	找20号到达口
买票	买票
B25号口	找B25检票口
到达口22	找22号到达口
城轨,哪个口	找到达口
西面,出发平台	找西出发平台
北11桥	找北11桥柱
24号口	找24号到达口
南4桥洞	找南4桥柱
b6口	找B6检票口
东进站口	找东进站口
检票口a3	找A3检票口
检票口c28	找C28检票口
检票口a13	找A13检票口
到达口4	找4号到达口
2进站口	找2号进站口
b13号口	找B13检票口
D26	找D26检票口
检票口b21	找B21检票口
a4号口	找A4检票口
a26	找A26检票口
人工	人工窗口
退票	人工窗口
C27号口	找C27检票口
B24检票口	找B24检票口
A20口	找A20检票口
检票口D24	找D24检票口
C25检票口	找C25检票口
北6桥洞	找北6桥柱
a17	找A17检票口
出站口6	找6号出站口
6号进站口	找6号进站口
A27口	找A27检票口
南8桥墩	找南8桥柱
检票口c22	找C22检票口
南7柱	找南7桥柱
南在哪个方向	找南边
哪里坐	坐车
人工售票	人工窗口
D27	找D27检票口
北5桥洞	找北5桥柱
L口	找L口
坐车	坐车
b11号口	找B11检票口
A17号口	找A17检票口
存行李	找行李寄存处
B26检票口	找B26检票口
北路	找南站北路
C28	找C28检票口
21号出口	找21号到达口
l入口	找L口
A24口	找A24检票口
C21检票口	找C21检票口
北,4号桥	找北4桥柱
b23检票口	找B23检票口
检票口a14	找A14检票口
检票口B28	找B28检票口
东面的进站口	找东进站口
北7桥洞	找北7桥柱
西南区	找西南区
检票口A18	找A18检票口
a23口	找A23检票口
a12	找A12检票口
地名,过来,高铁,到达口	找到达口
北12	找北12桥柱
停车场	找停车场
B27	找B27检票口
遗失物品	找失物招领处
21号口	找21号到达口
B11	找B11检票口
A26口	找A26检票口
到达口1	找1号到达口
k口	找K口
坐车	坐车
北6桥洞	找北6桥柱
出口19	找19号到达口
d25口	找D25检票口
北13	找北13桥柱
买高铁票	人工窗口
p6停车场	找p6停车场
22号口	找22号到达口
检票口d23	找D23检票口
b18检票口	找B18检票口
a13口	找A13检票口
D26检票口	找D26检票口
东广场	找东广场
北8桥	找北8桥柱
D21号口	找D21检票口
7号进站口	找7号进站口
台湾通行证	人工窗口
c28号口	找C28检票口
北7	找北7桥柱
怎么改	找改签处
26号到达口	找26号到达口
北4桥墩	找北4桥柱
检票口b19	找B19检票口
A13	找A13检票口
a23号口	找A23检票口
检票口D23	找D23检票口
10号口	找10号到达口
A3	找A3检票口
7进站口	找7号进站口
12号口	找12号到达口
C23号口	找C23检票口
公交车	坐公交
南停车场	找南1停车场
3进站口	找3号进站口
d28检票口	找D28检票口
到达口13	找13号到达口
c22号口	找C22检票口
南4	找南4桥柱
a8口	找A8检票口
出发厅	找出发平台
B14检票口	找B14检票口
北14	找北14桥柱
B23检票口	找B23检票口
a14	找A14检票口
公交车	坐公交
A11口	找A11检票口
北,4号桥	找北4桥柱
到达口8	找8号到达口
东侧,出发平台	找东出发平台
A17口	找A17检票口
a9检票口	找A9检票口
b4	找B4检票口
遗失物品	找失物招领处
人工窗口	人工窗口
P1停车场	找p1停车场
西面,出发平台	找西出发平台
北进站口	找北进站口
南6桥洞	找南6桥柱
北门的进站口	找北进站口
北11桥	找北11桥柱
吃饭	用餐
d20口	找D20检票口
11出口	找11号到达口
乘车	坐车
B4口	找B4检票口
高铁票	人工窗口
7线地铁	坐地铁
6号出口	找6号到达口
南10桥墩	找南10桥柱
2号线,地铁	坐地铁
检票口A4	找A4检票口
南侧的进站口	找南进站口
c23号口	找C23检票口
改时间	找改签处
南10柱	找南10桥柱
南14柱	找南14桥柱
B20口	找B20检票口
检票口a7	找A7检票口
北9柱	找北9桥柱
南2桥	找南2桥柱
北1洞口	找北1桥柱
B15口	找B15检票口
出口17	找17号到达口
a16号口	找A16检票口
b15	找B15检票口
检票口b10	找B10检票口
退票,怎么退	人工窗口
检票口A19	找A19检票口
检票口A27	找A27检票口
A12号口	找A12检票口
D27口	找D27检票口
B12口	找B12检票口
到达口16	找16号到达口
南3桥	找南3桥柱
D27检票口	找D27检票口
检票口B13	找B13检票口
20号出口	找20号到达口
25号口	找25号到达口
北4	找北4桥柱
检票口b25	找B25检票口
北7柱	找北7桥柱
出站口1	找1号出站口
b22检票口	找B22检票口
A22口	找A22检票口
高铁,出站	找到达口
南3桥墩	找南3桥柱
检票口A16	找A16检票口
A17	找A17检票口
大巴	坐大巴
南6桥	找南6桥柱
坐车	坐车
检票口d21	找D21检票口
南路	找南站南路
b13	找B13检票口
A7口	找A7检票口
改签	找改签处
c入口	找C口
4号口	找4号到达口
F入口	找F口
b11	找B11检票口
a6号口	找A6检票口
南,9号桥	找南9桥柱
4号口	找4号到达口
检票口b5	找B5检票口
11号口	找11号到达口
长途,汽车站	坐大巴
1号口	找1号到达口
考核回乡证	找处理12306账户
P3停车场	找p3停车场
d22口	找D22检票口
刷身份证,进去	坐车
北4桥	找北4桥柱
乘车	坐车
3号出口	找3号到达口
南门进站口	找南进站口
b20检票口	找B20检票口
到达口3	找3号到达口
B10检票口	找B10检票口
检票口a13	找A13检票口
C24号口	找C24检票口
C21口	找C21检票口
b27	找B27检票口
b15口	找B15检票口
北,1号桥	找北1桥柱
a23	找A23检票口
c22	找C22检票口
东边进站口	找东进站口
检票口D21	找D21检票口
c22检票口	找C22检票口
北3洞口	找北3桥柱
南站南路	找南站南路
a21	找A21检票口
取票口	找自助取票机
北14桥墩	找北14桥柱
上三楼	坐车
A22	找A22检票口
地名,等车	坐车
地名4,客车	坐大巴
南边的出站口	找南出站口
东在哪侧	找东边
A5口	找A5检票口
地名,过来,高铁,到达口	找到达口
B27口	找B27检票口
b23号口	找B23检票口
专车	找p1停车场
北面的进站口	找北进站口
a14检票口	找A14检票口
南4桥洞	找南4桥柱
瑞途便利店	找广铁瑞途便利店
坐城轨	坐城轨
d23	找D23检票口
d25号口	找D25检票口
南停车场	找南1停车场
c27检票口	找C27检票口
充电宝	借充电宝
D20	找D20检票口
8出口	找8号到达口
检票口a2	找A2检票口
进站口2	找2号进站口
10出口	找10号到达口
出发平台	找出发平台
出口10	找10号到达口
检票口D20	找D20检票口
27号口	找27号到达口
B8号口	找B8检票口
出口15	找15号到达口
母婴	找母婴室
D26	找D26检票口
南9桥墩	找南9桥柱
a2检票口	找A2检票口
出发厅	找出发平台
a11号口	找A11检票口
a4	找A4检票口
检票口D24	找D24检票口
台湾通行证	人工窗口
南侧的出站口	找南出站口
汽车	坐大巴
南6桥	找南6桥柱
B4口	找B4检票口
南面进站口	找南进站口
17号口	找17号到达口
A1检票口	找A1检票口
麦当劳	找麦当劳
d28检票口	找D28检票口
出去,西门	找西门
出口14	找14号到达口
南1桥	找南1桥柱
南站北路	找南站北路
B25	找B25检票口
7线地铁	坐地铁
B26号口	找B26检票口
A20	找A20检票口
南1桥柱	找南1桥柱
k入口	找K口
a22口	找A22检票口
南9	找南9桥柱
B出口	找B口
北边进站口	找北进站口
退票,怎么退	人工窗口
A18口	找A18检票口
出站口2	找2号出站口
2号进站口	找2号进站口
检票口b6	找B6检票口
d26检票口	找D26检票口
北1	找北1桥柱
b13检票口	找B13检票口
公交车	坐公交
出口16	找16号到达口
北4	找北4桥柱
p6	找p6停车场
c21号口	找C21检票口
检票口A4	找A4检票口
b24检票口	找B24检票口
b23口	找B23检票口
出口2	找2号到达口
北9桥洞	找北9桥柱
北6洞口	找北6桥柱
B11口	找B11检票口
A4检票口	找A4检票口
P8	找p8停车场
南9	找南9桥柱
南13桥墩	找南13桥柱
检票口C22	找C22检票口
高铁	坐车
南门进站口	找南进站口
a6检票口	找A6检票口
D24号口	找D24检票口
A27口	找A27检票口
打印车票	找自助取票机
subway	坐地铁
西,出发平台	找西出发平台
C24号口	找C24检票口
13号口	找13号到达口
北面的出站口	找北出站口
2线地铁	坐地铁
C24口	找C24检票口
南10柱	找南10桥柱
南14桥洞	找南14桥柱
4号口	找4号到达口
B11口	找B11检票口
580	找西门爱心驿站
肯德基	找肯德基
检票口A4	找A4检票口
C28号口	找C28检票口
6号口	找6号到达口
东边的出站口	找东出站口
B12	找B12检票口
5出站口	找5号出站口
b17检票口	找B17检票口
A3口	找A3检票口
南门的进站口	找南进站口
西出发平台	找西出发平台
C入口	找C口
东门出站口	找东出站口
B18口	找B18检票口
A7	找A7检票口
到达口10	找10号到达口
检票口b28	找B28检票口
a2	找A2检票口
g口	找G口
g出口	找G口
19号到达口	找19号到达口
检票口B6	找B6检票口
北10桥墩	找北10桥柱
广南汽车客运站	坐大巴
南12桥柱	找南12桥柱
580服务台	找西门爱心驿站
a22号口	找A22检票口
b5	找B5检票口
B24检票口	找B24检票口
班车,出站口	找到达口
b25口	找B25检票口
人工	人工窗口
b22	找B22检票口
d23检票口	找D23检票口
k口	找K口
b10号口	找B10检票口
b25口	找B25检票口
12号口	找12号到达口
寄存	找行李寄存处
B19	找B19检票口
a4	找A4检票口
B22口	找B22检票口
A16号口	找A16检票口
南1桥墩	找南1桥柱
a26检票口	找A26检票口
到达口12	找12号到达口
D27检票口	找D27检票口
a2口	找A2检票口
22号到达口	找22号到达口
身份证明	办临时身份证
到达口3	找3号到达口
港澳通行证,续签	找港澳通行证续签机
P2	找p2停车场
西在哪侧	找西边
A25检票口	找A25检票口
a23口	找A23检票口
a11号口	找A11检票口
检票口D21	找D21检票口
c20号口	找C20检票口
4号到达口	找4号到达口
d21	找D21检票口
b28检票口	找B28检票口
C28	找C28检票口
进站	坐车
北面的出站口	找北出站口
b12口	找B12检票口
21出口	找21号到达口
东面的出站口	找东出站口
取票	找自助取票机
南侧进站口	找南进站口
12出口	找12号到达口
地名1,轻轨	坐城轨
检票口b24	找B24检票口
2号,地铁站,入口	坐地铁
东出口	找东出口
b16	找B16检票口
A4口	找A4检票口
到3楼	坐车
核验回乡证	找处理12306账户
B6口	找B6检票口
p3	找p3停车场
14号出口	找14号到达口
南10柱	找南10桥柱
c21	找C21检票口
出口10	找10号到达口
17出口	找17号到达口
买票,地名	买票
D23口	找D23检票口
北,9号桥	找北9桥柱
d22	找D22检票口
北2桥	找北2桥柱
P3	找p3停车场
28号口	找28号到达口
k入口	找K口
P8	找p8停车场
人工取票	人工窗口
A3口	找A3检票口
快速接客区	找p3停车场
a11号口	找A11检票口
a27口	找A27检票口
c21号口	找C21检票口
D24检票口	找D24检票口
b口	找B口
j口	找J口
b3	找B3检票口
a17口	找A17检票口
a19口	找A19检票口
买票	买票
25号口	找25号到达口
b20检票口	找B20检票口
南13洞口	找南13桥柱
b10检票口	找B10检票口
7号线	坐地铁
北边的出站口	找北出站口
28号口	找28号到达口
p2	找p2停车场
A20口	找A20检票口
坐动车	坐车
出站口	找出站口
高铁站,售票大厅	人工窗口
d26号口	找D26检票口
汤上功夫	找汤上功夫
南,5号桥	找南5桥柱
a23	找A23检票口
28号口	找28号到达口
检票口a4	找A4检票口
进站口4	找4号进站口
检票口B9	找B9检票口
检票口D20	找D20检票口
16号出口	找16号到达口
a2口	找A2检票口
检票口b24	找B24检票口
南5桥柱	找南5桥柱
地名1,等车	坐城轨
失物招领处	找失物招领处
b1	找B1检票口
7进站口	找7号进站口
4出站口	找4号出站口
2号,地铁站	坐地铁
3进站口	找3号进站口
4号口	找4号到达口
A6口	找A6检票口
c27	找C27检票口
c22检票口	找C22检票口
公交车	坐公交
北2桥墩	找北2桥柱
动车,出站口	找到达口
北6桥柱	找北6桥柱
a3号口	找A3检票口
a6口	找A6检票口
5号口	找5号到达口
C22	找C22检票口
B13	找B13检票口
上三楼	坐车
8出口	找8号到达口
a21号口	找A21检票口
充电宝	借充电宝
拿车票	找自助取票机
公交车站	坐公交
C28口	找C28检票口
10号出口	找10号到达口
坐动车	坐车
c入口	找C口
上三楼	坐车
A9检票口	找A9检票口
出口28	找28号到达口
到达口11	找11号到达口
出口15	找15号到达口
北5桥柱	找北5桥柱
27号口	找27号到达口
A19号口	找A19检票口
B22号口	找B22检票口
24出口	找24号到达口
a22	找A22检票口
检票口B21	找B21检票口
21出口	找21号到达口
检票口a28	找A28检票口
检票口d20	找D20检票口
2出站口	找2号出站口
检票口b14	找B14检票口
13号到达口	找13号到达口
检票口B18	找B18检票口
坐动车	坐车
5号口	找5号到达口
a13检票口	找A13检票口
metro	坐地铁
南侧的出站口	找南出站口
p6停车场	找p6停车场
东出发平台	找东出发平台
行李寄存	找行李寄存处
d25号口	找D25检票口
a25检票口	找A25检票口
l口	找L口
候车	坐车
B26检票口	找B26检票口
A18口	找A18检票口
地名,候车大厅	坐车
d25号口	找D25检票口
东出口,出发厅	找东出发平台
长途汽车站	坐大巴
检票口b27	找B27检票口
7号线	坐地铁
b出口	找B口
进站	坐车
b7	找B7检票口
e口	找E口
B入口	找B口
行李寄存处	找行李寄存处
南14桥洞	找南14桥柱
乐站	找乐站便利店
北2桥洞	找北2桥柱
C21	找C21检票口
7号到达口	找7号到达口
B20	找B20检票口
地名1,坐车	坐城轨
地名,换乘	坐车
D28口	找D28检票口
北,5号桥	找北5桥柱
南12桥洞	找南12桥柱
7号地铁	坐地铁
进站口4	找4号进站口
临时	办临时身份证
北,1号桥	找北1桥柱
到达口20	找20号到达口
检票口B3	找B3检票口
检票口c23	找C23检票口
票怎么改	找改签处
爱心驿站	找爱心驿站
卫生间	找卫生间
北面的出站口	找北出站口
北边的出站口	找北出站口
人工,服务台,售票	人工窗口
到达口2	找2号到达口
b22号口	找B22检票口
c27检票口	找C27检票口
B9检票口	找B9检票口
北4桥	找北4桥柱
南5桥洞	找南5桥柱
B3	找B3检票口
护照报验	找处理12306账户
c25口	找C25检票口
B14号口	找B14检票口
检票口a3	找A3检票口
北,12号桥	找北12桥柱
南10桥柱	找南10桥柱
A15	找A15检票口
A26	找A26检票口
C20	找C20检票口
改签	找改签处
南6柱	找南6桥柱
南4洞口	找南4桥柱
19号口	找19号到达口
A22检票口	找A22检票口
d21号口	找D21检票口
a17	找A17检票口
